Command: tasklist
Time: 2025-10-10 04:54:33 -07:00
Output: 
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,976 K
Registry                       196 Services                   0     28,736 K
smss.exe                       648 Services                   0        516 K
csrss.exe                      868 Services                   0      3,184 K
wininit.exe                    136 Services                   0      2,776 K
csrss.exe                      688 Console                    1      3,888 K
services.exe                   912 Services                   0      8,648 K
lsass.exe                      956 Services                   0     13,436 K
svchost.exe                   1100 Services                   0     20,408 K
fontdrvhost.exe               1128 Services                   0      2,900 K
winlogon.exe                  1196 Console                    1      6,324 K
fontdrvhost.exe               1240 Console                    1      7,500 K
svchost.exe                   1284 Services                   0     13,596 K
svchost.exe                   1344 Services                   0      5,064 K
dwm.exe                       1476 Console                    1     71,144 K
svchost.exe                   1548 Services                   0      6,180 K
svchost.exe                   1556 Services                   0      5,184 K
svchost.exe                   1652 Services                   0     10,332 K
svchost.exe                   1680 Services                   0      2,920 K
svchost.exe                   1720 Services                   0     15,948 K
svchost.exe                   1800 Services                   0      9,604 K
svchost.exe                   1888 Services                   0      2,712 K
svchost.exe                   1932 Services                   0      6,048 K
svchost.exe                   1948 Services                   0      6,088 K
svchost.exe                   2032 Services                   0      4,992 K
svchost.exe                   1392 Services                   0      3,908 K
NVDisplay.Container.exe       1824 Services                   0     29,884 K
svchost.exe                   2064 Services                   0      9,968 K
svchost.exe                   2116 Services                   0      2,504 K
svchost.exe                   2196 Services                   0      7,640 K
svchost.exe                   2240 Services                   0      6,324 K
svchost.exe                   2248 Services                   0      2,032 K
svchost.exe                   2260 Services                   0      4,792 K
svchost.exe                   2352 Services                   0      5,624 K
Memory Compression            2360 Services                   0        520 K
svchost.exe                   2444 Services                   0      3,672 K
svchost.exe                   2452 Services                   0      3,928 K
svchost.exe                   2564 Services                   0      4,424 K
svchost.exe                   2672 Services                   0      6,076 K
svchost.exe                   2772 Services                   0      4,708 K
NVDisplay.Container.exe       2848 Console                    1     49,924 K
svchost.exe                   2876 Services                   0      6,540 K
svchost.exe                   2884 Services                   0      4,996 K
svchost.exe                   2964 Services                   0     15,460 K
svchost.exe                   2292 Services                   0     15,008 K
svchost.exe                   3228 Services                   0      9,756 K
spoolsv.exe                   3384 Services                   0      7,360 K
svchost.exe                   3564 Services                   0     14,408 K
svchost.exe                   3648 Services                   0      3,584 K
svchost.exe                   3904 Services                   0     15,716 K
svchost.exe                   4056 Services                   0     33,476 K
svchost.exe                   4072 Services                   0     10,984 K
svchost.exe                   4092 Services                   0     35,988 K
svchost.exe                   3312 Services                   0      4,152 K
svchost.exe                   3508 Services                   0      7,076 K
svchost.exe                   3548 Services                   0      2,328 K
svchost.exe                   3680 Services                   0     15,984 K
GooglePlayGamesServices.e     2692 Services                   0     70,844 K
svchost.exe                   3804 Services                   0      4,320 K
svchost.exe                   4108 Services                   0      1,580 K
sqlwriter.exe                 4116 Services                   0      2,676 K
IpOverUsbSvc.exe              4124 Services                   0      4,252 K
MSI_Central_Service.exe       4132 Services                   0      3,620 K
jhi_service.exe               4156 Services                   0      1,404 K
MsMpEng.exe                   4168 Services                   0    447,020 K
WMIRegistrationService.ex     4184 Services                   0      2,108 K
RtkAudUService64.exe          4204 Services                   0      5,520 K
MSI_Case_Service.exe          4236 Services                   0     11,820 K
MpDefenderCoreService.exe     4276 Services                   0     17,268 K
svchost.exe                   4492 Services                   0      1,960 K
svchost.exe                   4764 Services                   0      4,664 K
svchost.exe                   4824 Services                   0      7,056 K
svchost.exe                   4880 Services                   0      2,384 K
SearchIndexer.exe             5488 Services                   0     24,588 K
MSI.CentralServer.exe         5440 Services                   0     42,112 K
WmiPrvSE.exe                  5400 Services                   0      5,056 K
conhost.exe                   6276 Services                   0      6,488 K
dllhost.exe                   6404 Services                   0      5,528 K
sihost.exe                    6516 Console                    1     19,044 K
svchost.exe                   6548 Console                    1     16,316 K
svchost.exe                   6640 Services                   0      4,532 K
svchost.exe                   6684 Console                    1     21,144 K
svchost.exe                   6704 Services                   0     15,152 K
